price,meters,distance,exactyears,room,region
58314.21186,52.9175626,1.125253764,5,1,1
58859.11883,52.92229273,1.124232297,4,1,1
62813.15585,53.6695327,1.123118557,4,1,1
64468.77195,54.26694579,1.122069853,3,1,1
68945.08917,54.33246411,1.118933113,3,1,1
69034.24139,54.36541873,1.118383711,3,1,1
70053.18783,54.48869998,1.117234958,3,1,1
70288.32095,54.51767807,1.113011828,1,1,1
71619.26504,55.2243773,1.112884394,5,1,1
72498.30556,55.45020765,1.112770206,4,1,1
72823.52559,55.52130444,1.111911783,2,1,1
74217.11654,55.67157806,1.110721199,3,1,1
76736.59263,56.36554852,1.110452765,2,1,1
76791.68122,56.98187707,1.109969794,1,1,1
76816.04764,57.16140471,1.108357595,3,1,1
77570.44548,57.40984658,1.108255963,2,1,1
77607.68208,57.66080613,1.106750202,5,1,1
78837.03101,57.70014711,1.101297407,4,1,1
79177.26592,57.86938498,1.098372726,4,1,1
79565.79616,58.13115304,1.097422169,4,1,1
79589.06395,58.26155342,1.095290971,5,1,1
79930.96675,58.2658257,1.092638632,4,1,1
80006.68046,58.35836703,1.092035471,1,1,1
80487.38708,58.38574901,1.091678808,3,1,1
80765.54632,58.53185137,1.090220359,2,1,1
80936.63307,58.58752388,1.088403575,1,1,1
80976.57058,58.61488296,1.086494126,6,1,1
80998.34787,58.6610638,1.084559258,4,1,1
81351.37553,58.90173042,1.084042724,1,1,1
81479.44244,58.91498979,1.083721878,3,1,1
82267.19216,58.94522231,1.082081999,2,1,1
82400.74391,58.96345765,1.081163347,3,1,1
82435.39129,59.16614696,1.080627284,3,1,1
82474.56004,59.28318786,1.080593509,4,1,1
82550.22125,59.32329244,1.078637179,7,1,1
82807.85984,59.53793447,1.073872713,2,1,1
82933.67888,59.57621876,1.073564939,2,1,1
83060.24555,59.64678393,1.071949047,5,1,1
83082.57192,59.75111487,1.071306286,1,1,1
83106.58656,59.78563983,1.069996476,2,1,1
83106.90448,60.03064546,1.068817457,1,1,1
83221.34814,60.13173298,1.068164266,3,1,1
83764.94307,60.28531543,1.06794633,6,1,1
83869.51824,60.48516,1.067528531,5,1,1
83944.15315,60.60131404,1.067431803,7,1,1
83944.59067,60.66082801,1.066329064,5,1,1
84091.41686,60.72472529,1.066013986,6,1,1
84251.80963,61.24368757,1.064072243,2,1,1
84299.813,61.29097782,1.063813626,4,1,1
84737.16273,61.47619387,1.054241399,6,1,1
84746.59935,61.50633224,1.053499192,2,1,1
84783.29564,61.73379656,1.052192439,3,1,1
85086.06709,61.79937137,1.050212625,1,1,1
85250.50895,62.11533511,1.049663993,2,1,1
85810.87073,62.37883746,1.047698196,6,1,1
85890.92844,62.38768103,1.045110253,2,1,1
86067.75603,62.4953701,1.037468695,4,1,1
86120.94279,62.54394734,1.033315202,2,1,1
86588.64659,62.61747904,1.033138787,4,1,1
86735.78625,62.75914562,1.031970032,1,1,1
86886.67543,62.76726944,1.029908662,3,1,1
87022.45966,62.89208028,1.028080739,2,1,1
87042.41382,62.92733844,1.027980287,4,1,1
87042.92865,63.0279751,1.025879864,3,1,1
87126.22737,63.06616184,1.025287329,5,1,1
87134.44906,63.15444888,1.024774351,2,1,1
87250.02595,63.19697064,1.023849426,2,1,1
87722.24797,63.27817859,1.021778814,8,1,1
87902.67142,63.54632111,1.019711108,6,1,1
87982.2384,63.59786583,1.016195829,4,1,1
88234.6594,63.68923717,1.014578248,1,1,1
88246.19438,63.77203946,1.014428395,0,1,1
88452.24767,63.84610515,1.013374411,1,1,1
88476.51839,63.85280704,1.009440216,1,1,1
88625.04204,63.89563232,1.007034641,3,1,1
88641.8489,63.95005122,1.00691824,3,1,1
88694.49835,64.02759919,1.006705341,3,1,1
88764.85068,64.03144419,1.006053002,3,1,1
88792.64272,64.0577094,1.004304661,2,1,1
88892.51345,64.16980566,1.002665174,4,1,1
89177.73048,64.21194976,1.001733529,5,1,1
89504.46921,64.22209681,1.000061853,6,1,1
89530.25533,64.35038582,0.996198482,5,1,1
89590.49845,64.38277729,0.993430058,3,1,1
89672.35097,64.38418437,0.989358275,3,1,1
89723.63413,64.50587316,0.989263491,3,1,1
90018.26276,64.5180476,0.987141121,1,1,1
90281.07548,64.58822734,0.985141189,1,1,1
90360.71405,64.62705535,0.981345064,3,1,1
90437.83811,64.65490338,0.981301946,3,1,1
90895.30666,64.66285454,0.979445294,4,1,1
90926.91342,64.79001973,0.97686201,4,1,1
91268.27266,64.87036847,0.976676371,2,1,1
91287.90945,64.87534253,0.976103798,2,1,1
91290.02096,64.87577012,0.975451451,5,1,1
91296.71776,64.87716629,0.974874329,3,1,1
91342.45173,64.89401059,0.973572801,5,1,1
91362.20071,65.08448577,0.973554992,2,1,1
91484.05215,65.08536104,0.968867899,2,1,1
91635.76914,65.17127248,0.968378128,4,1,1
91644.07152,65.18378305,0.968369998,1,1,1
91648.17824,65.21304994,0.965722459,3,1,1
91656.64625,65.22469863,0.964990587,2,1,1
91660.41837,65.25389864,0.964446572,0,1,1
91699.6821,65.31671476,0.963644389,3,1,1
91881.80613,65.33155359,0.956821353,0,1,1
92116.75844,65.35618848,0.956256351,4,1,1
92132.55708,65.37546601,0.955663109,4,1,1
92166.31082,65.39530823,0.95412317,1,1,1
92430.83869,65.44246953,0.95115624,3,1,1
92439.32844,65.47943008,0.948073842,3,1,1
92612.00957,65.56906897,0.944837999,5,1,1
92630.37248,65.57493521,0.943636799,4,1,1
92722.37072,65.66944912,0.943288722,0,1,1
92867.24474,65.67679711,0.943118632,6,1,1
92869.50807,65.77996096,0.941164063,1,1,1
92873.18687,65.96228694,0.939445686,2,1,1
92879.35641,65.96281303,0.93778348,2,1,1
92922.61289,66.09269871,0.935541321,1,1,1
93067.25912,66.15277017,0.934908682,2,1,1
93123.94451,66.26011687,0.934784886,1,1,1
93127.35284,66.33949822,0.930931104,2,1,1
93190.88535,66.38743277,0.930332979,3,1,1
93229.18061,66.38858672,0.930148048,1,1,1
93326.74485,66.40502759,0.928808877,2,1,1
93347.64895,66.49382252,0.927034165,2,1,1
93466.90118,66.60524686,0.926881494,6,1,1
93480.10435,66.61051387,0.926300595,2,1,1
93721.41197,66.65017037,0.925280608,4,1,1
93829.61105,66.73374701,0.924442173,2,1,1
94084.24519,66.75310147,0.924357918,3,1,1
94148.83626,66.81112327,0.923348168,4,1,1
94412.61819,66.85780642,0.921785053,6,1,1
94452.60092,66.89349244,0.92154744,5,1,1
94550.86517,66.9339597,0.92030148,5,1,1
94845.47888,66.94864385,0.919790356,3,1,1
95039.39555,67.07075067,0.919151386,4,1,1
95101.71014,67.13561976,0.918594683,4,1,1
95116.91816,67.25665332,0.915318708,6,1,1
95139.69172,67.26795791,0.914603657,2,1,1
95217.44207,67.3677732,0.913659805,3,1,1
95337.27447,67.36785319,0.912998106,1,1,1
95337.67481,67.3855289,0.911376874,3,1,1
95383.82199,67.4016915,0.907583029,3,1,1
95399.45649,67.65124865,0.906520833,5,1,1
95429.75644,67.68430618,0.90599935,4,1,1
95510.81369,67.70164287,0.905322412,3,1,1
95668.25608,67.7249234,0.899278854,2,1,1
95906.84574,67.74741506,0.899162593,5,1,1
96012.4056,67.75653789,0.899097731,4,1,1
96032.07703,67.75807073,0.889549746,3,1,1
96167.84187,67.8588775,0.887903257,2,1,1
96173.46816,67.86457619,0.885256494,3,1,1
96272.44489,67.87464759,0.88347464,5,1,1
96306.92531,67.95296673,0.883241132,4,1,1
96432.50681,67.97874845,0.882995602,3,1,1
96443.14788,67.98788188,0.882755389,1,1,1
96488.21599,68.00211592,0.882667272,6,1,1
96771.93408,68.1607412,0.880117581,4,1,1
96817.90548,68.18712919,0.879275695,3,1,1
96924.26702,68.23380215,0.879173233,1,1,1
96933.61101,68.2549589,0.878454907,2,1,1
96945.53976,68.42817961,0.876874268,1,1,1
96960.86007,68.52816795,0.869790225,3,1,1
96978.46784,68.77352347,0.868429444,2,1,1
97074.374,68.81011958,0.867585867,5,1,1
97130.5266,68.81365337,0.865799146,2,1,1
97143.02409,68.83585993,0.864827753,4,1,1
97157.76739,68.84881513,0.863973522,0,1,1
97199.80792,68.9189173,0.862543709,3,1,1
97275.96609,69.16198953,0.861727868,2,1,1
97336.04028,69.2004358,0.860828854,2,1,1
97359.80543,69.22625917,0.860560162,1,1,1
97361.14451,69.24578219,0.859871987,2,1,1
97421.75855,69.3127444,0.858070501,7,1,1
97427.85501,69.32241865,0.855734771,6,1,1
97546.54113,69.32651728,0.855030667,6,1,1
97552.70721,69.35126711,0.853973115,1,1,1
97559.57962,69.3692868,0.853678258,2,1,1
97581.93926,69.37482067,0.853476511,3,1,1
97662.29529,69.3885881,0.852291602,1,1,1
97703.84588,69.65855192,0.849592097,1,1,1
97731.44763,69.67834661,0.848064265,4,1,1
97861.64998,69.68449669,0.847213931,6,1,1
98040.13595,69.71812096,0.844901825,3,1,1
98220.45296,69.73178824,0.844868073,4,1,1
98237.88598,69.73395468,0.844862698,3,1,1
98440.85797,69.81240428,0.844824553,3,1,1
98454.12558,69.86208179,0.842972306,3,1,1
98456.26693,69.92158675,0.841830252,2,1,1
98477.50278,69.95765069,0.841506194,3,1,1
98507.08999,70.00778414,0.834477655,2,1,1
98524.49168,70.06026574,0.832970914,1,1,1
98577.55134,70.11425683,0.832939892,2,1,1
98660.53749,70.12823169,0.831699636,8,1,1
98688.72703,70.18770747,0.819576539,3,1,1
98701.31128,70.22345496,0.818796665,2,1,1
98704.23242,70.25212079,0.818523059,1,1,1
98795.05286,70.25424704,0.817329931,1,1,1
98927.49075,70.26568907,0.816806062,3,1,1
99089.343,70.28018407,0.814354204,3,1,1
99095.68849,70.30350485,0.812893914,2,1,1
99105.0782,70.37609431,0.812554209,3,1,1
99105.42206,70.44877857,0.812254142,0,1,1
99221.7581,70.46661091,0.811261227,3,1,1
99223.90353,70.46818651,0.809902532,2,1,1
99270.15671,70.48061209,0.809563892,6,1,1
99335.49686,70.5174504,0.804547111,1,1,1
99406.70464,70.65686209,0.803085881,3,1,1
99445.79102,70.75112568,0.802847302,2,1,1
99482.58575,70.75640018,0.80027639,2,1,1
99539.94577,70.83371263,0.799318168,3,1,1
99609.95793,70.84537285,0.792488775,2,1,1
99651.10862,70.85192545,0.789803604,6,1,1
99672.43152,70.85776317,0.786497751,4,1,1
99738.65829,70.85852278,0.786326172,1,1,1
99762.75556,70.87717625,0.785102452,5,1,1
99790.71342,70.93838613,0.783482848,3,1,1
99797.35874,70.97429671,0.779901872,2,1,1
99876.62631,70.99372655,0.779196541,1,1,1
99901.6636,71.08969178,0.776447076,2,1,1
100007.0032,71.25280974,0.773544841,1,1,1
100175.43,71.27324949,0.773403109,2,1,1
100193.0306,71.31014408,0.772351164,6,1,1
100199.0195,71.36639669,0.771960047,3,1,1
100257.8912,71.45923417,0.771558869,3,1,1
100295.3593,71.50672406,0.770391169,5,1,1
100320.8977,71.61831254,0.766446335,2,1,1
100332.6284,71.6634852,0.765398526,1,1,1
100334.6936,71.69349546,0.764029479,4,1,1
100401.7246,71.77005619,0.756947772,2,1,1
100454.51,71.77971967,0.754837326,5,1,1
100494.4149,71.79859133,0.751356521,6,1,1
100494.692,71.82201277,0.7510864,4,1,1
100509.01,71.82417512,0.75038214,3,1,1
100543.8283,71.8605097,0.744268378,4,1,1
100576.7094,71.87081356,0.744182031,0,1,1
100588.4454,71.8880514,0.743942455,3,1,1
100613.023,71.93109939,0.743718363,3,1,1
100642.7985,71.94220474,0.742869153,4,1,1
100647.3942,71.95072507,0.741904365,3,1,1
100662.8383,72.08182545,0.73818961,3,1,1
100757.1243,72.15222452,0.737861014,3,1,1
100847.0678,72.22344568,0.730972615,2,1,1
100870.7894,72.28739642,0.729972608,2,1,1
100966.1188,72.37706871,0.726976989,3,1,1
100966.1678,72.43029734,0.726647793,10,1,1
100969.0424,72.4955686,0.724350082,1,1,1
101011.4161,72.50205354,0.723049378,2,1,1
101017.1289,72.55262978,0.722769036,4,1,1
101162.762,72.6169008,0.72253079,3,1,1
101212.8299,72.63042503,0.72123047,6,1,1
101223.3377,72.73533218,0.716117561,3,1,1
101342.3461,72.74096244,0.713447625,5,1,1
101373.4933,72.79817906,0.712897509,1,1,1
101417.0518,72.80457654,0.709564275,2,1,1
101436.9595,72.80603348,0.706090943,3,1,1
101472.7158,72.82809604,0.70307096,3,1,1
101505.7528,72.83323111,0.698246687,6,1,1
101519.4947,72.99515109,0.693963101,2,1,1
101539.4488,73.00304629,0.690095113,3,1,1
101568.1741,73.0075572,0.68441309,3,1,1
101579.2353,73.02173109,0.680713999,2,1,1
101582.8368,73.09186464,0.679224726,2,1,1
101637.5802,73.10219324,0.679057449,4,1,1
101638.1022,73.14772084,0.678883192,4,1,1
101672.6661,73.17284825,0.678427932,4,1,1
101698.0747,73.28156108,0.677075097,2,1,1
101764.4753,73.32737544,0.676904971,4,1,1
101854.7857,73.39209516,0.675956851,1,1,1
101905.0179,73.41143483,0.675951738,4,1,1
101928.5924,73.44277594,0.674746987,3,1,1
101965.3007,73.4824295,0.673507074,0,1,1
101997.9944,73.58225955,0.670813668,3,1,1
102018.0089,73.64710766,0.669002603,3,1,1
102027.9203,73.67531249,0.657191805,4,1,1
102080.4973,73.74387878,0.656171792,2,1,1
102092.3122,73.81032147,0.652990076,3,1,1
102112.8089,73.81934312,0.651176755,2,1,1
102114.8194,73.83173325,0.650964482,2,1,1
102139.0364,73.94106811,0.649489651,3,1,1
102163.6385,73.97005653,0.646846206,3,1,1
102179.8396,74.00636667,0.645517538,4,1,1
102249.4385,74.06478261,0.645447059,4,1,1
102265.3926,74.09619768,0.6445508,3,1,1
102278.1981,74.13766694,0.639720772,3,1,1
102309.1414,74.18687026,0.634919534,1,1,1
102442.0364,74.24621802,0.634034211,2,1,1
102537.3203,74.25751331,0.630107766,4,1,1
102567.6893,74.2847529,0.629218984,4,1,1
102598.3867,74.29987976,0.626339742,2,1,1
102599.9029,74.32210136,0.622316523,3,1,1
102807.8311,74.33695985,0.621090742,4,1,1
102817.5103,74.34228537,0.620256972,4,1,1
103000.9878,74.34887622,0.615490551,1,1,1
103035.4087,74.39180561,0.615381393,7,1,1
103124.1871,74.50608248,0.613158852,6,1,1
103128.5087,74.57631356,0.608795503,3,1,1
103135.1941,74.60697708,0.606416979,2,1,1
103166.0667,74.62526298,0.606280159,2,1,1
103170.3727,74.62975788,0.60245967,2,1,1
103185.3159,74.68682757,0.598289666,4,1,1
103187.2845,74.77522454,0.598154806,4,1,1
103212.5255,74.80744112,0.597243712,4,1,1
103213.1415,74.84061181,0.596467382,3,1,1
103315.1251,74.84482654,0.595999843,11,1,1
103338.0162,74.85794798,0.59165322,4,1,1
103354.2671,74.92220503,0.590558641,5,1,1
103365.0622,75.20847221,0.590420987,5,1,1
103404.9038,75.28837971,0.588452304,1,1,1
103450.3625,75.29117016,0.587692036,2,1,1
103466.8958,75.45579828,0.586797339,2,1,1
103488.0182,75.49710013,0.584603436,3,1,1
103490.0538,75.51258995,0.581203945,2,1,1
103491.6153,75.52145051,0.577610779,2,1,1
103498.4431,75.59404841,0.576937673,1,1,1
103572.6644,75.6313994,0.57597828,1,1,1
103600.447,75.75840686,0.575903083,2,1,1
103672.3541,75.77400694,0.575331387,2,1,1
103710.1354,75.87393189,0.574126183,2,1,1
103733.3507,75.89227115,0.570400088,2,1,1
103809.9023,75.89537098,0.568431768,2,1,1
103872.9471,75.93668122,0.568276254,4,1,1
103961.991,75.96359309,0.566448526,2,1,1
103982.8047,76.00041252,0.564957112,2,1,1
104021.0135,76.11345079,0.563510286,4,1,1
104057.9208,76.16723187,0.560035124,2,1,1
104068.4457,76.17635684,0.559887805,4,1,1
104073.3257,76.17819416,0.558657856,2,1,1
104080.4146,76.20270127,0.556789544,5,1,1
104100.5628,76.23785626,0.553309612,3,1,1
104173.7937,76.26200496,0.547724743,2,1,1
104200.4793,76.27316023,0.547519476,1,1,1
104234.9839,76.34706896,0.542331457,2,1,1
104260.012,76.43188401,0.540493633,2,1,1
104304.689,76.44876185,0.535625828,1,1,1
104316.096,76.45366028,0.529271363,1,1,1
104328.8074,76.4676361,0.528414729,3,1,1
104390.0578,76.55595007,0.527588312,7,1,1
104403.41,76.59724131,0.524938311,4,1,1
104443.6288,76.59771016,0.52353922,1,1,1
104471.7893,76.61868745,0.521232658,2,1,1
104477.4136,76.63036471,0.521183631,3,1,1
104493.7341,76.7097527,0.518342526,3,1,1
104505.7977,76.74640521,0.516245824,4,1,1
104534.6607,76.75814017,0.515030391,1,1,1
104562.5707,76.84318496,0.51498011,2,1,1
104611.3653,76.86140204,0.510654575,2,1,1
104654.1537,76.87409663,0.509021958,0,1,1
104688.3088,76.87832072,0.507715582,4,1,1
104712.855,77.02377829,0.501524426,0,1,1
104750.336,77.02397872,0.500524316,0,1,1
104750.6227,77.02529281,0.500198332,3,1,1
104753.1297,77.07251087,7.676190905,6,1,1
104758.6737,77.14443697,7.675327591,6,1,1
104778.8507,77.14875682,7.663270316,4,1,1
104795.4666,77.14878504,7.651357366,5,1,1
104831.5106,77.15381453,7.650025055,5,1,1
104833.7548,77.26798026,7.645532601,4,1,1
104847.9186,77.27845408,7.640576758,4,1,1
104975.746,77.3006479,7.640175329,2,1,1
104981.4763,77.30980352,7.63980871,2,1,1
104996.9967,77.37281917,7.638024714,2,1,1
105021.5788,77.38413927,7.637018717,2,1,1
105160.0213,77.39358728,7.636619629,2,1,1
105176.8887,77.42927907,7.633803428,3,1,1
105230.629,77.48406167,7.631293282,4,1,1
105263.8492,77.5029071,7.629623001,6,1,1
105288.1745,77.53058049,7.627623864,2,1,1
105335.9192,77.54632725,7.625740609,1,1,1
105338.8812,77.55728942,7.625343688,4,1,1
105359.8379,77.58313716,7.622204559,2,1,1
105420.2443,77.59603205,7.620088033,4,1,1
105527.5663,77.63427279,7.619837028,4,1,1
105561.7237,77.64747825,7.618596181,1,1,1
105589.8737,77.65848148,7.618024833,2,1,1
105598.715,77.71374938,7.615239078,4,1,1
105614.966,77.7159324,7.613201875,3,1,1
105618.2902,77.74364645,7.611859672,2,1,1
105621.6309,77.75233539,7.599092127,3,1,1
